-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 12/31/2024 in LST
Location: latitude  32.9348   longitude 72.8576 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 448.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface Total PAR (kW-hr/m^2/day) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
PS                      MERRA-2 Surface Pressure (kPa) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PSC                     MERRA-2 Corrected Atmospheric Pressure (Adjusted For Site Elevation) (kPa) 
WSC                     MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Crop: 20-m broadleaf-deciduous trees (10%) & wheat (vegtype_12) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_PAR_TOT,T2M,T2M_MAX,T2M_MIN,TS,T2MWET,RH2M,PRECTOTCORR,T2MDEW,WS10M,WS10M_MAX,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UV_INDEX,QV2M,PSC,WSC
2006,8,30,6.65,6.74,6.71,1.96,0.67,3.05,26.61,29.15,23.55,25.95,24.3,76.39,0.28,22.0,0.84,1.35,95.55,9.79,2.0,17.4,90.1,0.66
2006,8,31,5.9,6.49,4.65,2.46,0.6,2.71,26.24,30.23,22.93,26.17,24.08,77.82,0.12,21.92,1.4,2.04,95.45,10.09,1.78,17.33,90.01,1.19
2006,9,1,5.56,6.62,4.34,2.52,0.57,2.59,25.59,29.98,22.34,25.86,23.88,82.3,0.73,22.17,1.82,4.06,95.24,10.12,1.84,17.63,89.8,1.56
2006,9,2,5.33,6.73,4.22,2.48,0.55,2.51,23.28,27.45,20.26,23.43,21.92,85.45,7.07,20.55,2.6,4.66,95.35,10.09,1.75,15.93,89.85,2.35
2006,9,3,6.02,6.74,6.12,2.26,0.62,2.78,24.28,29.32,19.91,24.29,21.9,75.88,1.44,19.51,1.35,2.58,95.68,9.76,1.87,14.91,90.19,1.27
2006,9,4,6.7,6.75,7.49,1.56,0.69,3.08,25.59,31.05,19.71,24.67,22.74,72.24,0.0,19.9,2.12,4.41,95.58,9.61,2.15,15.29,90.12,2.04
2006,9,5,6.64,6.67,7.19,1.62,0.69,3.04,26.77,31.22,21.37,25.43,23.01,64.2,0.0,19.25,0.66,1.08,95.57,9.66,2.04,14.67,90.13,0.52
2006,9,6,6.72,6.75,7.67,1.51,0.7,3.05,27.23,31.84,22.16,26.01,23.98,68.23,0.0,20.73,1.27,2.28,95.51,9.47,2.06,16.16,90.08,0.93
2006,9,7,5.98,6.35,5.18,2.41,0.63,2.75,27.73,32.47,22.9,26.95,24.77,71.35,0.0,21.82,0.78,1.74,95.51,9.91,1.87,17.22,90.09,0.65
2006,9,8,6.02,6.2,5.38,2.25,0.64,2.79,27.93,32.15,24.21,27.45,25.1,72.11,0.0,22.26,0.83,1.91,95.49,10.33,1.9,17.71,90.07,0.71
2006,9,9,5.83,5.99,4.79,2.28,0.62,2.66,28.1,32.53,24.18,27.98,25.78,76.81,0.0,23.45,1.18,1.96,95.49,10.43,1.78,19.03,90.08,1.03
2006,9,10,5.94,6.07,5.05,2.28,0.63,2.71,28.12,32.78,23.81,28.05,25.76,76.99,0.03,23.4,1.4,2.2,95.47,10.37,1.75,18.97,90.06,1.21
2006,9,11,5.81,5.99,4.77,2.36,0.62,2.63,27.56,32.07,23.33,27.64,25.12,76.23,0.1,22.67,1.49,2.22,95.27,10.38,1.65,18.17,89.86,1.37
2006,9,12,5.47,6.02,4.24,2.43,0.59,2.48,27.41,32.5,23.04,27.29,24.77,74.54,1.7,22.13,1.41,2.37,95.3,10.42,1.58,17.58,89.88,1.27
2006,9,13,5.53,6.1,4.55,2.29,0.6,2.54,26.77,31.28,23.06,26.54,24.21,74.55,1.13,21.66,1.33,2.09,95.54,10.36,1.62,17.03,90.1,1.12
2006,9,14,5.37,6.03,4.37,2.38,0.59,2.45,26.44,30.66,22.38,26.29,24.21,77.29,4.0,21.98,1.39,2.15,95.61,10.28,1.52,17.37,90.16,1.15
2006,9,15,5.55,5.92,4.43,2.44,0.61,2.53,26.39,30.46,22.52,26.29,24.41,79.85,8.16,22.43,1.85,3.02,95.65,10.09,1.56,17.83,90.19,1.71
2006,9,16,5.8,5.99,5.59,1.98,0.64,2.63,26.66,31.02,21.75,26.24,24.19,75.58,1.18,21.73,1.55,3.32,95.79,9.85,1.62,17.06,90.33,1.35
2006,9,17,6.04,6.07,6.09,1.93,0.67,2.71,27.62,32.3,23.09,26.65,24.38,68.73,0.0,21.14,1.07,1.5,95.54,9.55,1.68,16.5,90.12,0.87
2006,9,18,5.96,6.09,6.07,1.95,0.66,2.65,27.02,31.37,21.35,26.19,24.29,73.15,0.0,21.57,1.4,3.28,95.44,9.4,1.68,16.97,90.01,1.14
2006,9,19,5.57,5.76,4.84,2.31,0.62,2.51,26.71,31.27,22.07,26.4,24.44,76.9,0.07,22.16,1.76,2.96,95.41,9.86,1.55,17.62,89.97,1.48
2006,9,20,5.13,5.86,4.41,1.91,0.58,2.36,27.08,31.46,22.67,26.19,23.94,69.94,4.6,20.81,1.4,1.98,95.56,10.32,1.53,16.17,90.12,1.21
2006,9,21,5.61,5.69,4.55,2.31,0.64,2.55,26.82,31.39,21.86,25.38,22.86,63.0,3.15,18.9,1.04,2.2,95.42,9.71,1.53,14.38,89.99,0.88
2006,9,22,3.31,5.84,2.16,1.79,0.38,1.53,25.81,30.19,20.37,24.72,22.24,65.73,6.35,18.67,1.26,2.25,95.45,9.76,0.96,14.16,90.0,1.08
2006,9,23,6.14,6.22,7.2,1.57,0.71,2.74,25.45,30.47,19.67,24.1,21.24,61.28,0.0,17.04,1.21,2.12,95.6,8.95,1.68,12.76,90.14,1.03
2006,9,24,6.07,6.25,7.18,1.59,0.7,2.67,25.61,30.48,19.57,23.33,20.58,54.78,0.0,15.55,0.78,1.59,95.63,8.67,1.6,11.61,90.17,0.62
2006,9,25,6.0,6.08,6.86,1.58,0.7,2.63,25.76,31.43,19.71,23.77,20.78,55.46,0.0,15.81,1.22,1.81,95.72,8.68,1.56,11.77,90.25,0.97
2006,9,26,5.66,5.81,5.9,1.76,0.66,2.5,24.79,30.34,19.03,23.44,20.78,61.95,0.8,16.76,1.75,2.4,95.7,9.08,1.46,12.55,90.22,1.48
2006,9,27,5.94,6.0,7.45,1.27,0.7,2.64,24.66,30.7,17.91,23.05,19.86,57.64,0.0,15.06,2.19,3.45,95.62,8.78,1.56,11.24,90.14,1.97
2006,9,28,6.13,6.16,8.3,1.1,0.73,2.69,24.72,31.43,17.25,22.63,19.5,53.69,0.0,14.28,1.44,2.62,95.77,8.5,1.63,10.7,90.28,1.26
2006,9,29,6.0,6.05,8.16,1.1,0.72,2.68,25.2,31.32,19.24,23.52,20.57,57.65,0.0,15.94,1.35,2.0,95.82,8.74,1.6,11.91,90.34,1.14
2006,9,30,5.86,5.9,7.72,1.13,0.7,2.65,26.0,32.18,20.88,24.36,21.0,55.64,0.0,16.0,1.16,2.04,95.93,9.24,1.65,11.9,90.45,0.97
2006,10,1,5.86,5.87,7.81,1.12,0.71,2.65,25.76,31.8,19.47,23.97,20.8,56.08,0.01,15.84,1.62,2.82,95.87,8.99,1.63,11.79,90.39,1.41
2006,10,2,5.9,5.92,7.77,1.2,0.72,2.6,26.26,32.12,20.5,24.02,20.53,50.95,0.0,14.79,1.45,1.95,95.72,8.68,1.63,11.03,90.26,1.21
2006,10,3,5.66,5.68,6.91,1.43,0.69,2.49,26.77,33.27,19.99,24.12,20.46,47.85,0.0,14.16,1.6,2.68,95.67,8.75,1.48,10.62,90.22,1.31
2006,10,4,5.74,5.75,7.28,1.3,0.71,2.49,26.91,32.84,20.31,23.53,20.0,43.55,0.0,13.08,1.49,2.94,95.61,8.44,1.49,9.9,90.16,1.17
2006,10,5,5.88,5.89,8.04,1.11,0.73,2.53,26.54,33.97,19.61,23.33,18.71,40.02,0.0,10.89,1.76,2.25,95.37,8.12,1.55,8.6,89.93,1.46
2006,10,6,5.68,5.7,7.37,1.26,0.71,2.45,26.53,33.93,20.62,23.28,18.85,39.62,0.0,11.17,1.51,2.17,95.39,8.3,1.49,8.79,89.95,1.24
2006,10,7,5.56,5.57,7.02,1.32,0.7,2.41,25.99,33.26,18.41,23.31,18.6,41.51,0.0,11.2,1.57,2.54,95.54,8.53,1.41,8.73,90.08,1.33
2006,10,8,5.34,5.39,6.35,1.49,0.68,2.34,25.66,32.44,20.21,23.8,19.76,49.23,0.0,13.87,1.47,2.01,95.74,8.69,1.32,10.45,90.27,1.22
2006,10,9,5.04,5.1,5.33,1.69,0.65,2.23,25.99,32.59,20.36,24.75,20.97,55.31,0.0,15.94,1.62,2.13,95.9,8.96,1.25,11.91,90.43,1.36
2006,10,10,5.0,5.04,5.1,1.77,0.65,2.21,25.84,32.12,19.93,24.53,20.94,57.01,0.01,16.05,1.68,3.06,95.98,9.02,1.21,11.91,90.5,1.36
2006,10,11,5.01,5.05,5.26,1.73,0.65,2.21,25.9,32.09,19.87,24.53,20.75,54.87,0.0,15.6,1.68,2.57,96.03,8.86,1.19,11.58,90.55,1.37
2006,10,12,4.92,5.03,5.42,1.77,0.65,2.18,25.07,32.53,19.72,24.53,20.32,58.61,0.0,15.58,1.9,3.03,95.96,8.9,1.19,11.58,90.47,1.76
2006,10,13,1.68,4.52,0.58,1.27,0.22,0.8,24.05,29.96,19.34,23.43,20.21,63.84,5.64,16.37,2.02,3.06,96.28,9.7,0.47,12.12,90.75,1.97
2006,10,14,4.81,4.89,5.28,1.58,0.64,2.16,23.66,28.49,19.33,22.69,19.21,58.69,0.17,14.77,1.33,2.13,96.49,9.19,1.16,10.9,90.94,1.09
2006,10,15,4.71,4.81,4.83,1.73,0.63,2.09,23.4,29.45,19.19,22.61,18.92,58.95,2.48,14.45,1.92,2.68,96.37,9.03,1.11,10.69,90.82,1.61
2006,10,16,5.26,5.27,7.72,0.96,0.71,2.36,23.67,30.57,16.48,22.4,18.24,53.24,0.0,12.82,2.27,3.86,96.32,8.57,1.29,9.62,90.78,2.0
2006,10,17,5.09,5.17,6.85,1.27,0.69,2.27,24.27,30.95,18.17,22.75,18.58,50.83,0.0,12.89,1.52,2.17,96.27,8.6,1.24,9.68,90.74,1.25
2006,10,18,4.82,4.97,5.87,1.43,0.66,2.14,24.94,30.89,18.83,23.68,19.64,53.08,0.0,14.33,1.24,1.97,96.14,8.67,1.18,10.68,90.63,1.03
2006,10,19,3.31,4.96,2.99,1.72,0.46,1.51,24.52,30.59,19.9,23.73,19.97,58.63,0.02,15.43,1.53,2.82,96.02,9.03,0.92,11.44,90.51,1.32
2006,10,20,3.83,4.83,3.65,1.81,0.53,1.73,19.41,23.59,16.02,19.45,17.51,79.46,14.36,15.6,2.46,4.02,96.52,9.14,0.98,11.5,90.89,2.3
2006,10,21,4.69,4.73,5.35,1.55,0.66,2.06,20.08,26.8,14.76,20.05,16.93,69.46,0.04,13.78,1.57,2.19,96.53,8.11,1.04,10.23,90.91,1.37
2006,10,22,4.78,4.91,6.04,1.38,0.68,2.09,21.16,26.94,16.59,20.38,17.52,64.6,0.0,13.87,1.12,1.96,96.5,8.11,1.05,10.28,90.91,0.89
2006,10,23,4.38,4.69,4.88,1.7,0.63,1.93,21.65,27.98,16.73,20.82,17.67,62.4,0.0,13.68,1.15,2.1,96.56,8.3,1.01,10.15,90.96,0.96
2006,10,24,3.73,4.18,2.84,2.09,0.54,1.63,21.47,26.78,16.44,20.61,17.82,64.14,0.0,14.16,1.78,3.63,96.56,8.81,0.81,10.49,90.96,1.44
2006,10,25,4.32,4.37,4.5,1.68,0.63,1.89,21.64,27.51,17.14,20.59,18.27,66.7,0.01,14.91,2.21,3.69,96.66,8.53,0.91,10.99,91.06,1.84
2006,10,26,3.72,4.09,2.54,2.06,0.54,1.64,21.68,27.33,17.47,20.73,18.06,65.0,0.19,14.44,1.7,2.46,96.61,8.72,0.76,10.65,91.02,1.41
2006,10,27,4.29,4.51,4.88,1.54,0.63,1.91,21.4,28.07,16.64,20.81,17.11,60.19,0.36,12.82,1.67,2.96,96.63,8.84,0.97,9.6,91.03,1.57
2006,10,28,4.51,4.59,5.94,1.33,0.67,2.0,21.79,28.46,15.87,20.51,16.72,54.73,0.0,11.65,1.83,2.95,96.5,8.26,0.93,8.89,90.91,1.66
2006,10,29,4.4,4.63,5.88,1.53,0.66,1.95,21.36,28.36,15.76,20.09,16.53,55.97,0.0,11.69,2.07,2.72,96.46,8.25,0.94,8.92,90.87,1.75
2006,10,30,4.42,4.47,5.79,1.3,0.67,1.93,21.53,28.14,15.82,19.88,16.55,54.56,0.0,11.58,1.41,2.37,96.36,8.1,0.89,8.87,90.78,1.18
2006,10,31,4.24,4.42,5.23,1.51,0.65,1.83,22.11,28.73,16.31,20.22,17.08,54.27,0.0,12.05,1.11,1.79,96.43,8.12,0.82,9.15,90.85,0.9
2006,11,1,4.33,4.36,5.7,1.26,0.66,1.87,22.15,28.07,17.48,20.1,17.29,55.16,0.0,12.44,0.95,1.42,96.4,8.08,0.9,9.38,90.83,0.73
2006,11,2,4.06,4.16,4.68,1.49,0.63,1.75,22.02,28.32,16.52,19.9,16.56,51.88,0.0,11.1,0.87,1.68,96.4,8.13,0.83,8.58,90.82,0.71
2006,11,3,3.97,4.0,4.44,1.5,0.62,1.72,21.31,28.36,16.47,19.95,16.52,55.85,0.0,11.73,1.35,2.11,96.47,8.3,0.82,8.95,90.88,1.14
2006,11,4,3.97,4.1,4.67,1.47,0.62,1.73,21.51,28.65,16.29,19.54,16.22,52.8,0.0,10.94,1.74,2.72,96.4,8.16,0.84,8.5,90.81,1.42
2006,11,5,4.03,4.11,4.67,1.51,0.64,1.73,21.35,28.19,15.98,18.99,15.87,51.12,0.0,10.39,1.51,2.12,96.31,7.99,0.82,8.2,90.73,1.22
2006,11,6,3.81,3.9,4.17,1.61,0.61,1.63,20.13,27.01,15.97,18.48,15.65,57.81,0.0,11.18,1.77,2.59,96.22,8.04,0.76,8.66,90.62,1.45
2006,11,7,3.5,3.7,2.85,1.9,0.56,1.49,20.36,26.19,15.44,18.04,15.96,58.01,0.0,11.56,1.38,2.2,96.24,8.12,0.62,8.88,90.65,1.17
2006,11,8,4.04,4.09,5.4,1.23,0.65,1.75,20.88,27.55,15.9,19.13,16.3,57.18,0.0,11.71,1.21,1.66,96.45,7.98,0.76,8.96,90.85,0.97
2006,11,9,3.45,3.84,3.01,1.97,0.56,1.5,21.12,27.52,15.92,19.59,16.11,54.49,0.0,11.1,1.17,1.88,96.68,8.36,0.68,8.56,91.07,0.96
2006,11,10,2.62,3.27,0.82,1.99,0.43,1.15,20.34,25.65,16.23,18.37,15.89,57.42,0.46,11.45,1.06,1.62,96.75,8.68,0.53,8.75,91.12,0.82
2006,11,11,2.33,3.32,0.35,1.91,0.39,1.05,20.93,27.26,17.35,19.9,17.07,62.78,2.31,13.21,1.6,3.82,96.61,8.94,0.49,9.88,91.01,1.46
2006,11,12,2.54,3.33,1.18,1.74,0.42,1.14,18.84,23.53,15.31,18.52,16.59,76.43,5.42,14.33,2.07,4.86,96.54,8.77,0.47,10.59,90.9,1.97
2006,11,13,3.77,3.96,5.2,1.22,0.63,1.69,18.08,24.99,14.35,17.75,14.72,67.04,2.96,11.37,2.18,3.46,96.56,8.04,0.72,8.72,90.9,2.17
2006,11,14,3.99,4.11,6.46,1.23,0.68,1.78,18.65,26.93,11.89,17.45,13.16,52.27,0.04,7.68,2.57,3.72,96.46,7.73,0.77,6.83,90.82,2.4
2006,11,15,1.31,3.94,0.43,1.09,0.22,0.63,17.32,24.94,12.99,16.51,12.1,52.8,0.27,6.88,3.03,4.57,96.58,8.52,0.35,6.45,90.91,2.96
2006,11,16,3.09,3.83,2.82,1.76,0.53,1.38,16.37,23.31,10.57,15.87,12.32,60.9,0.59,8.27,2.3,3.5,96.53,8.26,0.63,7.09,90.84,2.34
2006,11,17,1.05,3.68,0.18,0.9,0.18,0.52,14.74,17.38,12.45,14.07,12.85,78.25,6.34,10.95,2.65,6.14,96.42,8.89,0.27,8.49,90.71,2.28
2006,11,18,3.31,3.79,3.86,1.46,0.58,1.46,15.25,21.67,10.76,14.87,13.15,78.42,0.0,11.05,1.53,2.73,96.5,7.86,0.61,8.53,90.79,1.37
2006,11,19,3.67,3.91,5.44,1.18,0.65,1.63,15.46,23.27,10.43,15.19,12.52,70.67,0.1,9.58,3.28,4.17,96.43,7.49,0.7,7.73,90.73,3.14
2006,11,20,4.02,4.03,7.09,0.76,0.71,1.76,16.34,24.93,10.19,15.4,11.9,59.48,0.0,7.46,3.03,3.9,96.24,7.26,0.76,6.73,90.57,2.79
2006,11,21,2.01,3.76,1.66,1.32,0.36,0.93,16.15,23.06,12.23,15.03,11.55,56.69,0.75,6.94,2.21,2.89,96.09,8.43,0.46,6.59,90.42,1.98
2006,11,22,3.68,3.77,5.57,1.06,0.66,1.61,16.65,22.06,12.73,15.35,12.61,60.57,0.02,8.58,1.19,2.2,96.1,7.58,0.66,7.26,90.44,1.0
2006,11,23,3.93,3.97,7.17,0.72,0.71,1.71,14.51,22.33,9.69,13.65,9.77,55.81,0.38,5.03,3.09,3.63,96.17,6.95,0.65,5.69,90.47,2.81
2006,11,24,4.12,4.12,8.2,0.55,0.75,1.75,13.04,21.74,7.75,11.83,6.98,47.26,0.0,0.92,3.24,4.38,96.25,6.44,0.64,4.27,90.51,2.91
2006,11,25,4.03,4.03,7.67,0.64,0.74,1.7,12.31,21.72,6.78,10.96,5.86,44.08,0.0,-0.58,2.68,3.56,96.35,6.42,0.64,3.83,90.59,2.46
2006,11,26,3.89,3.97,7.13,0.75,0.72,1.66,13.31,21.64,6.75,11.1,6.39,41.16,0.0,-0.53,2.18,2.7,96.25,6.71,0.66,3.84,90.51,1.85
2006,11,27,3.14,3.63,4.03,1.44,0.58,1.35,12.76,18.11,7.51,10.21,6.94,46.26,0.0,1.11,1.37,2.98,96.2,7.31,0.54,4.33,90.46,1.18
2006,11,28,3.5,3.66,5.05,1.25,0.65,1.5,11.5,19.84,6.72,10.69,6.83,55.75,0.0,2.16,2.68,3.33,96.44,6.81,0.56,4.64,90.66,2.56
2006,11,29,3.53,3.63,5.63,0.99,0.66,1.51,12.55,21.07,8.05,11.23,7.57,53.57,0.02,2.59,2.43,3.52,96.67,6.76,0.54,4.78,90.89,2.31
2006,11,30,3.73,3.75,6.74,0.75,0.7,1.61,11.84,20.88,6.31,10.96,6.74,53.29,0.0,1.63,3.54,4.49,96.68,6.73,0.54,4.45,90.89,3.3
2006,12,1,3.72,3.75,6.84,0.78,0.7,1.6,11.92,20.55,6.88,10.61,6.52,50.48,0.0,1.12,2.82,3.66,96.66,6.66,0.55,4.31,90.88,2.52
2006,12,2,2.45,3.44,1.55,1.66,0.46,1.09,12.92,19.81,8.24,11.44,7.19,47.84,0.01,1.47,2.29,3.11,96.53,7.81,0.44,4.46,90.78,2.04
2006,12,3,0.59,3.08,0.1,0.51,0.11,0.3,11.47,14.98,9.6,10.7,8.57,68.94,7.06,5.68,1.95,3.13,96.6,8.01,0.14,5.99,90.81,2.15
2006,12,4,0.73,2.87,0.15,0.62,0.14,0.36,11.26,14.83,8.26,11.12,10.64,92.32,42.62,10.03,2.78,5.66,96.45,8.33,0.16,7.98,90.66,2.46
2006,12,5,2.28,3.06,1.88,1.34,0.44,0.98,12.64,16.09,9.93,12.41,11.83,90.06,24.54,11.03,3.74,6.28,96.33,7.42,0.35,8.55,90.58,3.39
2006,12,6,3.22,3.23,4.26,1.27,0.62,1.34,12.39,17.66,7.89,12.19,10.18,76.09,1.59,7.98,2.33,4.01,96.63,6.58,0.43,6.96,90.86,2.25
2006,12,7,3.73,3.74,7.66,0.58,0.72,1.59,11.47,18.18,5.93,10.74,9.27,75.85,0.01,7.07,2.03,3.63,96.61,6.35,0.53,6.56,90.82,1.96
2006,12,8,3.47,3.54,6.27,0.78,0.67,1.49,12.16,20.06,7.19,10.88,9.07,67.88,0.0,5.98,2.9,4.51,96.71,6.77,0.47,6.06,90.92,2.67
2006,12,9,2.85,3.58,3.76,1.35,0.56,1.24,11.01,19.4,5.51,9.64,6.77,58.13,0.0,2.53,2.89,3.52,96.65,7.27,0.46,4.78,90.85,2.76
2006,12,10,2.48,3.19,2.27,1.39,0.49,1.08,11.1,18.3,6.93,10.21,7.66,65.32,1.38,4.22,2.42,3.07,96.38,7.42,0.35,5.41,90.59,2.43
2006,12,11,2.83,2.95,3.3,1.28,0.56,1.18,9.87,16.97,5.73,9.13,7.26,72.17,0.09,4.65,3.17,4.41,96.51,7.02,0.34,5.52,90.69,3.08
2006,12,12,3.34,3.48,5.51,1.0,0.66,1.44,9.31,17.63,5.28,8.36,5.58,62.22,0.01,1.85,2.74,3.39,96.67,6.77,0.56,4.52,90.84,2.63
2006,12,13,3.54,3.6,6.54,0.74,0.7,1.53,10.46,18.84,5.61,8.85,5.37,51.91,0.0,0.28,2.77,3.45,96.69,6.7,0.59,4.04,90.88,2.53
2006,12,14,3.47,3.58,6.36,0.87,0.69,1.5,9.6,19.12,4.13,8.27,4.83,54.12,0.0,0.07,3.93,4.98,96.89,6.59,0.6,3.97,91.05,3.93
2006,12,15,3.49,3.52,6.53,0.75,0.69,1.52,11.62,20.67,4.13,8.98,5.92,47.97,0.0,0.22,2.49,3.73,96.55,6.69,0.6,4.03,90.77,2.34
2006,12,16,3.5,3.52,6.53,0.75,0.69,1.52,12.22,20.35,7.39,9.77,7.22,52.6,0.0,2.22,3.23,4.84,96.93,6.84,0.57,4.68,91.13,3.02
2006,12,17,3.58,3.62,6.7,0.73,0.71,1.51,11.27,21.3,5.62,9.8,6.71,55.64,0.0,2.15,4.27,5.69,96.78,6.51,0.55,4.64,90.98,4.26
2006,12,18,3.51,3.63,6.23,0.93,0.7,1.48,10.93,20.44,5.56,9.21,5.75,51.22,0.0,0.58,3.62,4.18,96.48,6.46,0.54,4.18,90.68,3.48
2006,12,19,3.43,3.44,5.95,0.89,0.68,1.45,12.21,20.33,7.03,8.83,6.27,45.62,0.0,0.34,2.45,3.32,96.52,6.49,0.52,4.1,90.75,2.07
2006,12,20,2.84,2.94,3.25,1.34,0.57,1.17,11.58,17.61,7.48,8.43,7.15,55.43,0.0,2.72,1.82,2.41,96.7,6.76,0.39,4.84,90.91,1.52
2006,12,21,1.87,2.12,0.95,1.33,0.37,0.74,10.27,16.88,6.45,8.33,7.36,68.49,0.37,4.45,2.16,3.49,96.83,7.43,0.22,5.42,91.0,2.03
2006,12,22,3.08,3.09,4.51,1.1,0.61,1.28,10.35,19.44,5.82,9.39,7.23,67.68,0.09,4.12,3.7,4.9,96.73,6.7,0.43,5.31,90.91,3.72
2006,12,23,3.47,3.48,6.46,0.76,0.69,1.47,11.32,19.6,5.49,8.42,6.15,51.28,0.0,0.99,2.01,3.14,96.54,6.45,0.51,4.27,90.75,1.78
2006,12,24,2.9,3.3,4.04,1.15,0.58,1.26,11.71,18.28,6.31,8.49,6.62,51.0,0.0,1.52,1.48,2.98,96.61,7.05,0.41,4.42,90.83,1.21
2006,12,25,2.12,3.02,1.24,1.51,0.42,0.93,9.4,15.68,6.93,8.19,6.3,66.23,0.3,3.19,3.57,5.18,96.47,7.78,0.33,5.01,90.65,3.3
2006,12,26,1.37,2.36,0.64,1.0,0.27,0.58,9.6,15.32,5.97,9.13,8.09,82.45,5.73,6.58,2.58,5.5,96.47,7.84,0.19,6.3,90.65,2.16
2006,12,27,3.51,3.52,6.42,0.78,0.69,1.49,9.22,16.87,4.99,8.6,6.81,74.3,0.26,4.4,4.37,6.82,96.67,6.45,0.51,5.42,90.83,4.34
2006,12,28,3.24,3.55,4.61,1.31,0.64,1.36,8.94,17.58,3.05,7.87,4.44,55.95,0.0,-0.06,3.36,5.04,96.46,6.72,0.56,3.97,90.63,3.21
2006,12,29,3.47,3.49,5.89,0.91,0.69,1.47,11.64,18.6,6.34,8.4,6.03,47.48,0.0,0.42,1.23,1.8,96.61,6.57,0.62,4.08,90.83,0.98
2006,12,30,3.4,3.41,5.49,1.0,0.67,1.43,11.54,18.03,6.38,7.62,5.85,46.81,0.0,0.16,1.11,1.98,96.46,6.32,0.61,4.01,90.68,0.9
2006,12,31,1.9,3.02,1.28,1.31,0.37,0.83,9.58,16.29,5.82,7.6,5.93,62.35,0.0,2.29,2.28,3.33,96.49,7.15,0.39,4.7,90.67,2.19
2007,1,1,3.51,3.59,5.97,0.98,0.69,1.5,9.72,17.55,4.7,8.42,6.57,67.28,0.0,3.41,2.33,3.13,96.67,6.41,0.53,5.07,90.84,2.17
2007,1,2,3.59,3.6,6.21,0.9,0.7,1.52,8.77,17.11,3.5,7.47,5.13,63.23,0.0,1.49,3.06,4.3,96.74,6.16,0.56,4.4,90.89,2.76
2007,1,3,3.66,3.67,6.53,0.85,0.71,1.55,8.08,16.28,2.11,6.02,3.34,53.78,0.0,-1.4,2.87,3.75,96.63,6.0,0.59,3.57,90.78,2.5
2007,1,4,3.62,3.64,6.21,0.91,0.7,1.51,7.52,15.8,1.54,4.93,2.02,47.51,0.0,-3.48,2.53,3.21,96.56,5.92,0.55,3.06,90.69,2.12
2007,1,5,3.7,3.71,6.53,0.85,0.71,1.54,7.33,16.42,-0.2,4.97,2.11,49.56,0.0,-3.12,2.89,4.12,96.72,5.94,0.54,3.13,90.84,2.53
2007,1,6,3.68,3.7,6.32,0.91,0.71,1.53,6.69,15.89,1.12,4.83,1.75,51.58,0.0,-3.19,2.63,3.31,96.9,5.87,0.51,3.11,90.99,2.34
2007,1,7,3.63,3.64,6.01,0.98,0.7,1.5,6.39,16.06,0.02,4.57,0.99,48.47,0.0,-4.4,3.34,4.76,96.9,5.86,0.55,2.84,90.99,3.04
2007,1,8,3.68,3.69,6.14,0.96,0.7,1.54,7.79,16.8,0.29,4.99,1.78,44.74,0.0,-4.23,2.3,3.52,96.62,5.95,0.58,2.88,90.76,2.04
